"UCSC_REFGENE_NAME"
"LZIC"
"MACROD1"
"MAD1L1"
"MAGI1"
"MAP3K10"
"MAPK15"
"MARCH10"
"MAST1"
"MBD1"
"MBOAT7"
"MBP"
"MCF2L"
"MECOM"
"MED16"
"METTL15"
"MINPP1"
"MIR1268A"
"MIR4492"
"MIR548H4"
"MIS18BP1"
"MLXIPL"
"MME"
"MMP16"
"MMP25"
"MRI1"
"MSH3"
"MTF1"
"MX1"
"MYDGF"
"MYO18A"
"MYO1C"
"MYO7A"
"MYO9B"
"NBPF1"
"NCLN"
"NCOR2"
"NCRNA00081"
"NCRNA00171"
"NDUFS3"
"NEIL1"
"NELL2"
"NFATC4"
"NFIC"
"NFIX"
"NIPA1"
"NKX2-2"
"NLGN2"
"NMNAT1"
"NOL4"
"NOX5"
"NPBWR1"
"NR2F2"
"NR4A2"
"NTN5"
"NUAK1"
"NUDCD2"
"NUDT6"
"NUP62"
"OCA2"
"ODZ4"
"OPCML"
"OPTN"
"OR2L13"
"OS9"
"OXCT1"
"P4HA3"
"PAAF1"
"PACS2"
"PAN2"
"PAQR4"
"PASK"
"PAX3"
"PCDHA1"
"PCDHA2"
"PCDHA3"
"PCDHB2"
"PCDHGA1"
"PCDHGA2"
"PCDHGA3"
"PCDHGA4"
"PCDHGA5"
"PCDHGA6"
"PCDHGA7"
"PCDHGB1"
"PCDHGB2"
"PCDHGB3"
"PCDHGB4"
"PCNT"
"PELI3"
"PEPD"
"PFKFB3"
"PHF1"
"PHLDB1"
"PLA2G7"
"PLEKHG5"
"PMF1"
"PNPLA7"
"PNPLA8"
"POLA2"
"POLR3F"
"PPM1D"
"PPOX"
"PPP1R7"
"PPP2R2B"
"PPP2R5C"
"PPT2"
"PRDM16"
"PRKAR1B"
"PRKCZ"
"PRKD2"
"PRX"
"PTK2B"
"PTPRN2"
"PTRHD1"
"PWWP2A"
"RAB1B"
"RAB37"
"RAB40C"
"RAD17"
"RAPGEFL1"
"RARG"
"RASA3"
"RASSF1"
"RB1"
"RBCK1"
"REV3L"
"RHOBTB3"
"RING1"
"RIPPLY2"
"RNF103"
"RNF103-CHMP3"
"RNF123"
"RNF216"
"RNF220"
"RNF44"
"ROGDI"
"RORA"
"RPGRIP1L"
"RPH3AL"
"RPP40"
"RPSA"
"RPTOR"
"RSL24D1"
"RUNX2"
"SCAMP5"
"SDCBP2"
"SEC1"
"SELO"
"SEMA5A"
"SFMBT2"
"SFRS16"
"SH3RF3"
"SHANK2"
"SHOC2"
"SIM2"
"SIPA1"
"SKIV2L2"
"SLC12A7"
"SLC25A37"
"SLC27A1"
"SLC30A9"
"SLC35B3"
"SLC38A6"
"SLC44A2"
"SLC45A4"
"SLC48A1"
"SLC5A10"
"SLC5A8"
"SLC6A1"
"SLC6A6"
"SLC6A9"
"SLC7A5"
"SLC9A3"
"SLFN5"
"SLIT3"
"SLMO1"
"SMTNL2"
"SMYD3"
"SNTB2"
"SNX6"
"SNX9"
"SOST"
"SOX2OT"
"SP2"
"SPATA13"
"SPATA2"
"SPATA5"
"SPON2"
"SPSB4"
"SPTBN4"
"SQRDL"
"SRRM2"
"SSBP4"
"STAM"
"STK32C"
"STON1-GTF2A1L"
"STRAP"
"SUPT3H"
"TAF2"
"TAF9"
"TAOK2"
"TAP1"
"TAP2"
"TBC1D14"
"TBC1D16"
"TBC1D22A"
"TBC1D8"
"TBCD"
"TCF12"
"TCF19"
"TCTN1"
"TERT"
"TEX14"
"TFAP2A"
"TGFB2"
"TGIF1"
"THAP4"
"THBS2"
"THBS3"
"THRA"
"TIAF1"
"TIMELESS"
"TK2"
"TLE3"
"TM9SF3"
"TMCC2"
"TMED7-TICAM2"
"TMEM184B"
"TMEM44"
"TMEM63B"
"TMUB1"
"TNK2"
"TNRC18"
"TNXB"
"TPCN2"
"TRAF3IP2-AS1"
"TRAPPC9"
"TRIM2"
"TRIM3"
"TRPC4AP"
"TRRAP"
"TRUB1"
"TSC22D1"
"TSEN34"
"TYK2"
"UNC79"
"UPF2"
"USP5"
"VAV2"
"VGLL4"
"VIPR2"
"WBSCR17"
"WDR20"
"WDR27"
"WDR3"
"WDR60"
"WDR81"
"WNT1"
"WRNIP1"
"ZBTB22"
"ZBTB46"
"ZFHX3"
"ZFR"
"ZFYVE28"
"ZIC4"
"ZNF319"
"ZNF362"
"ZNF408"
"ZNF549"
"ZNF568"
"ZNF681"
"ZNF704"
"ZNF718"
"ZNF785"
"ZNF829"
"ZSWIM4"
